epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,120.387,1.5858,1.4241,1.48919,0.95507,0.33598,0.50732,0.27924,1.68866,1.95578,1.68461,0.000848969,0.000848969,0.000848969
43,122.418,1.45805,1.27268,1.40795,0.72625,0.50086,0.58142,0.34497,1.58188,1.7434,1.6437,0.000834822,0.000834822,0.000834822
44,125.203,1.47968,1.26773,1.34405,0.77937,0.49339,0.59721,0.35769,1.70199,1.79702,1.77945,0.000820675,0.000820675,0.000820675
45,127.32,1.44983,1.12629,1.39438,0.82356,0.5582,0.60162,0.35194,1.73853,1.83979,1.85951,0.000806528,0.000806528,0.000806528
46,129.666,1.47132,1.17368,1.3519,0.80597,0.50087,0.60751,0.35759,1.70532,1.73537,1.85386,0.00079238,0.00079238,0.00079238
47,132.76,1.4594,1.17834,1.42896,0.76458,0.48235,0.5471,0.3121,1.7382,1.9594,1.89926,0.000778233,0.000778233,0.000778233
48,135.794,1.38859,1.03641,1.34593,0.73261,0.45796,0.50432,0.2412,1.82395,2.09526,1.91331,0.000764086,0.000764086,0.000764086
49,138.397,1.55354,1.21418,1.44204,0.74094,0.46561,0.49143,0.23029,1.78574,2.29206,1.92148,0.000749939,0.000749939,0.000749939
50,140.453,1.45987,1.0382,1.34842,0.86867,0.46561,0.50923,0.23374,1.79425,2.30808,1.95143,0.000735792,0.000735792,0.000735792
51,142.489,1.40304,1.0427,1.35194,0.84825,0.55323,0.58482,0.27575,1.69747,2.07019,1.8624,0.000721645,0.000721645,0.000721645
52,144.489,1.44138,1.14465,1.39215,0.82114,0.58918,0.65218,0.34335,1.65603,1.90101,1.77904,0.000707498,0.000707498,0.000707498
53,146.53,1.42258,1.06196,1.40467,0.78274,0.60728,0.64425,0.38541,1.62647,1.75519,1.72087,0.000693351,0.000693351,0.000693351
54,149.192,1.39085,1.15426,1.40981,0.89406,0.57851,0.6934,0.43569,1.62786,1.56431,1.72615,0.000679204,0.000679204,0.000679204
55,152.328,1.34659,1.03117,1.35422,0.77465,0.60849,0.72582,0.45453,1.55276,1.44635,1.66142,0.000665057,0.000665057,0.000665057
56,155.414,1.32434,0.95061,1.32798,0.73474,0.59429,0.73004,0.4386,1.44518,1.49491,1.57127,0.000650909,0.000650909,0.000650909
57,157.487,1.51552,1.11049,1.44197,0.70882,0.59645,0.69528,0.40483,1.44769,1.57722,1.57777,0.000636762,0.000636762,0.000636762
58,159.508,1.33364,0.99348,1.33909,0.77329,0.48413,0.63444,0.33042,1.59237,1.81659,1.69593,0.000622615,0.000622615,0.000622615
59,161.525,1.37564,1.02026,1.36551,0.63529,0.57385,0.63738,0.33363,1.70432,1.87137,1.80609,0.000608468,0.000608468,0.000608468
60,163.549,1.37182,0.92497,1.28802,0.88534,0.48097,0.65392,0.34199,1.65657,1.90898,1.75401,0.000594321,0.000594321,0.000594321
61,165.822,1.312,0.95244,1.29862,0.63426,0.6025,0.648,0.36162,1.62418,2.03461,1.70489,0.000580174,0.000580174,0.000580174
62,168.67,1.36194,0.91972,1.27186,0.87877,0.43278,0.58074,0.3097,1.6769,2.11147,1.72942,0.000566027,0.000566027,0.000566027
63,171.632,1.29361,1.09134,1.3466,0.76382,0.5119,0.55395,0.31915,1.6999,1.98822,1.75811,0.00055188,0.00055188,0.00055188
64,173.974,1.3858,1.03989,1.35654,0.85922,0.5119,0.60659,0.34377,1.58263,1.91629,1.67582,0.000537733,0.000537733,0.000537733
65,176.115,1.32644,1.01185,1.27809,0.70037,0.62302,0.63407,0.37331,1.47892,1.77688,1.59417,0.000523586,0.000523586,0.000523586
66,178.088,1.3561,0.93295,1.31387,0.85233,0.56746,0.63661,0.37762,1.46138,1.63034,1.55688,0.000509438,0.000509438,0.000509438
67,180.17,1.28735,0.95909,1.30461,0.8607,0.56746,0.63533,0.37793,1.4837,1.62232,1.59334,0.000495291,0.000495291,0.000495291
68,182.205,1.29891,0.91598,1.28949,0.84163,0.61006,0.64802,0.37471,1.48197,1.71537,1.58513,0.000481144,0.000481144,0.000481144
69,185.024,1.29757,0.97376,1.32328,0.64386,0.64412,0.63151,0.38094,1.44423,1.72439,1.55073,0.000466997,0.000466997,0.000466997
70,188.109,1.28611,0.91351,1.30976,0.79844,0.52116,0.61564,0.38,1.4207,1.74493,1.53467,0.00045285,0.00045285,0.00045285
71,191.094,1.19395,0.8682,1.2158,0.78384,0.52116,0.61172,0.36519,1.41584,1.76489,1.53894,0.000438703,0.000438703,0.000438703
72,193.123,1.31869,0.90142,1.29161,0.67042,0.50991,0.60689,0.36724,1.43412,1.86474,1.55682,0.000424556,0.000424556,0.000424556
73,195.104,1.33241,0.87194,1.27103,0.6608,0.53042,0.6113,0.37121,1.42487,1.90504,1.57008,0.000410409,0.000410409,0.000410409
74,197.095,1.25997,0.83948,1.29542,0.80639,0.57397,0.64256,0.37849,1.45341,1.78645,1.56973,0.000396262,0.000396262,0.000396262
75,199.133,1.28233,0.91669,1.29741,0.76468,0.5824,0.62927,0.36388,1.50079,1.76099,1.58767,0.000382115,0.000382115,0.000382115
76,201.26,1.32295,0.91211,1.28818,0.75584,0.59524,0.62647,0.35634,1.54542,1.80176,1.5989,0.000367967,0.000367967,0.000367967
77,204.189,1.3014,0.86967,1.25066,0.78994,0.57872,0.62714,0.36552,1.50418,1.75211,1.58316,0.00035382,0.00035382,0.00035382
78,207.22,1.26248,0.86391,1.2182,0.76862,0.59524,0.6293,0.3805,1.45802,1.78856,1.58067,0.000339673,0.000339673,0.000339673
79,209.989,1.29421,0.9209,1.29594,0.76462,0.62302,0.62523,0.36659,1.42263,1.81532,1.57717,0.000325526,0.000325526,0.000325526
80,212.067,1.24549,0.87834,1.33803,0.84961,0.61436,0.65114,0.37612,1.47744,1.79762,1.60708,0.000311379,0.000311379,0.000311379
81,214.093,1.24435,0.89551,1.25193,0.86968,0.61585,0.65052,0.3797,1.51534,1.8104,1.62896,0.000297232,0.000297232,0.000297232
82,216.158,1.26393,0.92604,1.29953,0.89745,0.6134,0.65485,0.37208,1.52457,1.78929,1.62423,0.000283085,0.000283085,0.000283085
83,218.174,1.1607,0.89732,1.27146,0.83577,0.59524,0.6436,0.37341,1.49031,1.75257,1.59728,0.000268938,0.000268938,0.000268938
84,220.416,1.2238,0.83124,1.26151,0.92331,0.58219,0.65766,0.38663,1.45936,1.66936,1.59662,0.000254791,0.000254791,0.000254791
85,223.206,1.24375,0.79207,1.21143,0.89006,0.58558,0.65712,0.38767,1.48027,1.64119,1.61662,0.000240644,0.000240644,0.000240644
86,226.394,1.22759,0.86475,1.22297,0.73031,0.59524,0.66113,0.39159,1.48213,1.58854,1.63234,0.000226497,0.000226497,0.000226497
87,229.065,1.16172,0.79671,1.26093,0.74118,0.56746,0.64971,0.37695,1.49428,1.6216,1.64745,0.000212349,0.000212349,0.000212349
88,231.075,1.29121,0.8193,1.33711,0.83433,0.5872,0.69727,0.38714,1.48099,1.65186,1.64411,0.000198202,0.000198202,0.000198202
89,233.087,1.18806,0.73488,1.16846,0.84998,0.57309,0.69438,0.38255,1.4788,1.6816,1.65088,0.000184055,0.000184055,0.000184055
90,235.127,1.12651,0.71331,1.17855,0.87023,0.56151,0.68892,0.39505,1.46194,1.68394,1.65098,0.000169908,0.000169908,0.000169908
91,240.239,1.06543,0.72868,1.2046,0.89172,0.53968,0.6567,0.39435,1.46534,1.66984,1.65639,0.000155761,0.000155761,0.000155761
92,247.29,0.97436,0.71162,1.11993,0.8609,0.57287,0.67787,0.39061,1.46778,1.6626,1.66335,0.000141614,0.000141614,0.000141614
93,251.135,1.05264,0.6397,1.15587,0.87684,0.57235,0.6758,0.39626,1.47247,1.68151,1.66285,0.000127467,0.000127467,0.000127467
94,253.397,1.01579,0.6087,1.12721,0.88658,0.5698,0.67637,0.38098,1.46137,1.7128,1.63735,0.00011332,0.00011332,0.00011332
95,255.45,1.04922,0.63638,1.14172,0.90306,0.5684,0.68537,0.38449,1.45582,1.68666,1.63016,9.91726e-05,9.91726e-05,9.91726e-05
96,257.809,0.94506,0.64308,1.11364,0.80301,0.60891,0.68252,0.39834,1.44608,1.68654,1.61927,8.50255e-05,8.50255e-05,8.50255e-05
97,260.603,0.97656,0.61827,1.10088,0.81423,0.62302,0.68214,0.41739,1.42911,1.66702,1.60394,7.08784e-05,7.08784e-05,7.08784e-05
98,263.52,0.99529,0.7082,1.17824,0.91925,0.58334,0.68008,0.41268,1.43007,1.65415,1.60223,5.67313e-05,5.67313e-05,5.67313e-05
99,266.079,0.92787,0.59702,1.10739,0.84966,0.61825,0.68781,0.4157,1.42253,1.6439,1.60163,4.25842e-05,4.25842e-05,4.25842e-05
100,268.078,1.10871,0.68257,1.15768,0.86695,0.62302,0.69161,0.41931,1.42544,1.60946,1.60176,2.84371e-05,2.84371e-05,2.84371e-05
